Country,Population
Austria," 9006398.00 "
Belgium," 11589623.00 "
Bulgaria," 6948445.00 "
Croatia," 4105267.00 "
Cyprus," 1207359.00 "
Czechia," 10708981.00 "
Denmark," 5792202.00 "
Estonia," 1326535.00 "
Finland," 5540720.00 "
France," 65273511.00 "
Germany," 83783942.00 "
Greece," 10423054.00 "
Hungary," 9660351.00 "
Ireland," 4937786.00 "
Italy," 60461826.00 "
Latvia," 1886198.00 "
Lithuania," 2722289.00 "
Netherlands," 17134872.00 "
North Macedonia," 1836713.00 "
Norway," 5408320.00 "
Poland," 37846611.00 "
Romania," 19237691.00 "
Serbia," 6844078.00 "
Slovenia," 2078938.00 "
Spain," 46754778.00 "
Sweden," 10099265.00 "
Switzerland," 8697723.00 "
Turkey," 85042736.00 "
United Kingdom," 67326569.00 "
