geoName,uveitis
Alabama,37
Alaska,0
Arizona,33
Arkansas,20
California,25
Colorado,11
Connecticut,44
Delaware,100
District of Columbia,39
Florida,40
Georgia,32
Hawaii,18
Idaho,25
Illinois,33
Indiana,26
Iowa,48
Kansas,11
Kentucky,12
Louisiana,31
Maine,55
Maryland,50
Massachusetts,40
Michigan,37
Minnesota,22
Mississippi,28
Missouri,26
Montana,39
Nebraska,17
Nevada,13
New Hampshire,42
New Jersey,41
New Mexico,11
New York,43
North Carolina,39
North Dakota,0
Ohio,38
Oklahoma,23
Oregon,39
Pennsylvania,54
Rhode Island,31
South Carolina,36
South Dakota,0
Tennessee,24
Texas,33
Utah,38
Vermont,24
Virginia,38
Washington,28
West Virginia,24
Wisconsin,34
Wyoming,0
